项目,机台,问题,失败描述,失败分析,根因,纠正步骤,PPT文件,PPT页面
MEM,Stage,直线电机轻微抖动,2026-01 月起，MEM 线 Stage-02 在 X 轴高速段（> 600 mm/s）周期性出现 5–8 μm 微抖动，导致下游 Aligner 拍照模糊，FAI 误判率上升 0.7%。低速段无异常，断电重启后短暂改善 2–3 h。,用激光干涉仪记录跟随误差，FFT 频谱在 187 Hz 出现明显峰值；与电机极对数 × 转速吻合，判定为换向 ripple。同时发现磁条上有金属碎屑（数颗粒度 < 50 μm）；用塑料刮刀清理后 ripple 幅度下降 60%。,磁条上金属碎屑与控制器换向滤波器参数老化共同导致 ripple 放大。,1) 按 setup_Stage_magnet 清洁磁条；2) 在驱动器中重新整定 current loop bandwidth 由 800 Hz 提升至 1200 Hz；3) 加装磁条防尘罩；4) 建立每 1500h 强制清洁 PM 项。,exp_MEM_Stage_servo_ripple.pptx,4
MHK,Stage,气浮平台间歇接触底,MHK 线 Stage-04 每周 1–2 次发生气浮接触底报警 E1045，每次需停机 30 min，6 周内已造成 4.5 小时停机。,压力记录显示气源压力短时跌落至 0.45 MPa，持续 200–800 ms，与厂房其他大用气设备启动同步。气浮设备本地缓冲罐容积 5 L 仅能维持 0.5 s。增加缓冲罐与高速恢复阀后，未再出现接触底事件。,厂务气源末端波动；本地缓冲不足。,1) 增加 20 L 缓冲罐；2) 安装高速恢复阀（响应 < 50 ms）；3) 厂务侧增加气源稳压阀；4) 修改报警逻辑：压力 < 0.52 MPa 即软停机，避免接触底。,exp_MHK_Stage_air_drop.pptx,6
Kinneret,Heater,加热元件局部失效,Kinneret 线 Heater-01 加热膜中心温度比四角低 3.8 °C（标准 ≤ 0.5 °C），导致产品中央段固化不足，剥离不良率上升。,红外热像仪显示加热膜中心约 30 mm × 30 mm 区域呈暗色冷区。剥开发现该区域有一处局部碳化，疑似过去 EOL 短时电压尖峰。,供应商批次问题（绝缘层不均），结合一次电压尖峰加速失效。,1) 整片更换加热膜；2) 重做 setup_Heater_pid；3) 增加电源浪涌保护器；4) 与供应商建立批次追溯并要求 100% IR 来料检验。,exp_Kinneret_Heater_film_local.pptx,2
所有项目,Pump,干泵密封漏油,多条线干泵在 1500–1800h 间陆续出现轴端漏油，漏油量 5–20 mL/天。,拆解发现机械密封端面磨损，密封介质受工艺尾气腐蚀。原配密封材质 FKM 在含氟工艺下寿命远低于 2000h。,密封材质与工艺尾气不兼容（设计选型问题）。,1) 更换 FFKM (Kalrez 4079) 材质机械密封；2) 修订 BOM；3) PM 周期由 2000h 调整为 1800h；4) 与泵厂建立工艺尾气兼容性评估流程。,exp_All_Pump_seal_leak.pptx,7
Sonora,Aligner,上视相机对位漂移,Sonora 线 Aligner-03 上视相机每天累积偏移 8–12 μm，每 8h 必须重新校准否则对位 NG。,用恒温箱在相机周围模拟温差 2 °C，发现偏移 ~5 μm/°C。原相机底座为铝合金，热膨胀系数 23 ppm/°C，距离热源（控制柜）较近。,热膨胀导致相机机械结构漂移；选型阶段未考虑长时温度稳定性。,1) 把相机底座更换为殷钢（Invar，热膨胀 < 2 ppm/°C）；2) 在相机外加保温罩；3) 调整控制柜风道避免热气流直吹相机区域；4) 漂移问题消失。,exp_Sonora_Aligner_thermal.pptx,5
Yucatan,Loader,FOUP 门密封不良,Yucatan 线 Loader-02 多片晶圆边沿出现颗粒污染，良率下降 1.5%。,对污染颗粒做 SEM/EDS 分析，发现含金属铁、橡胶颗粒。检查 FOUP 门密封条断面有裂纹，开门器 latch 与门钩对位偏 0.6 mm 致密封长期变形。,FOUP 门钩磨损 + 长期密封变形产生橡胶碎屑；机械维护不到位。,1) 全部更换 latch 钩；2) 重做 setup_Loader_foup；3) FOUP 密封条改为每年强制更换；4) 增加每月密封间隙点检；5) 颗粒污染降至背景水平。,exp_Yucatan_Loader_foup_seal.pptx,4
PDX,FTU,HSS 眼图边缘抖动,PDX 线 FTU-01 测试 PCIe Gen3 信号眼宽偶发降低，眼图测试 1–2% 失败率。,示波器抓取异常时刻发现电源纹波 80 mV @ 2 MHz，超过 50 mV 标准。追溯电源是一个公用 LDO 给探针卡与控制板共用，控制板 SPI 通讯抖动耦合到 PCIe 信号。,电源拓扑设计缺陷：探针卡与控制板共用 LDO，瞬态电流干扰耦合。,1) 为探针卡增加独立 LDO TPS7A47；2) 增加 22 μF + 1 μF 去耦电容；3) 重做 setup_FTU_eye_diagram 验证，眼宽改善 30%；4) 失败率降至 < 0.1%。,exp_PDX_FTU_power_noise.pptx,8
Boston,Conveyor,拐弯段间歇停机,Boston 线 Conveyor-05 拐弯段每天 5–8 次停机报警 E1011 卡料，每次清理 1–2 min，整线 OEE 下降 4%。,高速摄像（500 fps）回放发现产品在拐弯段轻微翻倒。原因是拐弯段速度比主线快 5%。变频器参数被前任工程师误调（无 ECN 记录）。,变频器参数未受控变更 + 拐弯段速度不匹配。,1) 重做 setup_Conveyor_curve；2) 把变频器锁屏保护并设密码；3) 建立变频器参数 Git 版本管理；4) 重新培训操作工 SOP；5) 卡料率降至 0.2 次/天。,exp_Boston_Conveyor_speed.pptx,13
MHK,Aligner,UV 灯能量衰减异常,MHK 线 Aligner-07 UV 灯使用 600h 后能量从 95 mW/cm² 跌至 50 mW/cm²，远低于厂家 1000h 寿命承诺。,拆下 UV 灯发现灯管表面有油雾沉积，主因是位于灯管下方的 Loader 气缸密封件老化漏油，雾化油气在灯管表面碳化。,周边设备漏油污染 UV 灯表面，加速衰减。,1) 修复 Loader 气缸漏油；2) 增加 UV 灯防护石英罩；3) 清洁灯管表面（仅可由厂家执行）；4) 监控点检；5) 灯管寿命恢复至 850–950h。,exp_MHK_Aligner_uv_decay.pptx,10
Kinneret,SensorModule,压力传感器零位漂移,Kinneret 线 SensorModule-02 压力传感器每周漂移 0.5–0.8 kPa，连续 4 周必须重校。,替换标准 Druck DPI 610 验证传感器本体性能正常。追根究底发现该机间歇出现 PE 接地不良 0.8 Ω（标准 < 0.1 Ω），共模噪声引起 ADC 输入端漂移。,电气接地不良导致测量漂移。,1) 修复接地（地线打磨 + 导电脂）；2) 接地电阻降至 0.04 Ω；3) 漂移降至 < 0.05 kPa/周；4) 全厂排查同类接地问题。,exp_Kinneret_SensorModule_ground.pptx,3
MEM,Loader,机械手末端突然定位偏移,MEM 线 Loader-01 机械手某天突然偏移 2 mm，导致 8 片晶圆掉落。,调出 robot.cfg 文件发现 TCP 参数被修改，但无 ECN 记录。日志显示前一天夜班有人登录工程师账号但未做操作记录。,未授权人员修改关键参数；账号管理松懈。,1) 重新做 TCP 校准（参考 setup_Loader_robot_tcp）；2) 增加 robot.cfg 文件 hash 校验，发布前比对；3) 工程师账号实施 MFA；4) 操作日志强制审计；5) 12 月起未再发生类似事件。,exp_MEM_Loader_unauth_change.pptx,9
PDX,Heater,SSR 间歇短路,PDX 线 Heater-04 在使用 18 个月后某天突发温度失控至 132 °C 触发硬联锁 E1024。,拆下 SSR 测量发现 SCR 已击穿短路。SSR 散热器表面温度长期 72 °C（标准 ≤ 65 °C），原因是机房空调失效后散热风量不足。,环境温度过高加速 SSR 寿命，最终短路；联锁正确动作避免事故。,1) 换 SSR；2) 修复机房空调；3) 增加散热风扇并接入监控（参考 setup_Heater_ssr_fan）；4) 所有同型号 SSR 排查并预防性更换运行 > 18 月的；5) 加入 SSR 散热器温度趋势监控。,exp_PDX_Heater_ssr_burn.pptx,1
Boston,Aligner,暗光下识别率骤降,Boston 线 Aligner-09 早上 8 点之后识别率从 99.8% 降至 95%。,对比早晚环境光得知白天东边窗户阳光透过百叶窗反射进设备底部，干扰下视相机。下午太阳偏移后识别恢复正常。,环境光干扰；设备防护设计不完善。,1) 在设备底部加遮光裙边；2) 给百叶窗加遮光帘；3) 调整下视相机曝光参数；4) 识别率稳定 99.9%。,exp_Boston_Aligner_sunlight.pptx,6
Sonora,Stage,直驱电机温升超标,Sonora 线 Stage-01 X 轴直驱电机表面温度运行 30 min 即达 75 °C 自动降速。,查 servo log 发现负载惯量比从 5:1 上升到 11:1，原因是上方安装了新的工件加重了负载。当前调谐参数不适用新工况。,工艺升级未同步重做伺服参数调谐。,1) 在 ServoStudio 重做整定，负载惯量比正确录入；2) 降低电流环增益避免持续高电流；3) 温升回到 < 38 °C；4) 建立工艺变更必须评估伺服参数的流程。,exp_Sonora_Stage_motor_temp.pptx,3
Yucatan,FTU,老化炉温场不均,Yucatan 线 Burnin 炉 9 点温度极差 8 °C（标准 ≤ 4 °C），客户拒绝放行批次。,用红外热像仪与 9 点 K 型热电偶记录，发现循环风扇右侧叶片局部脱落，风量分布失衡。,风扇叶片疲劳脱落（运行 18000h）。,1) 更换循环风扇；2) 重做 setup_FTU_burnin 9 点验证；3) 增加风扇振动监控；4) 风扇预防性更换周期由 24000h 缩短至 20000h。,exp_Yucatan_FTU_oven_uniformity.pptx,11
MHK,Pump,干泵振动突增,MHK 线 Pump-03 振动从基线 2.5 mm/s 突增至 6.8 mm/s。,Aptitude Analyst 做频谱分析发现 BPFO（外圈通过频率）峰值出现，初步判定轴承外圈剥落。,轴承到达寿命末期。,1) 安排 PM 更换轴承组（前后端各一）；2) 振动恢复 2.8 mm/s；3) 增加振动趋势预警阈值 4.5/5.5/7 mm/s 三级；4) 平均提前 200h 预测故障。,exp_MHK_Pump_bearing.pptx,8
PDX,Loader,卡匣误识别 cross-slot,PDX 线 Loader-05 半夜两次报 E1017，每次需当班排查 30 min。,Mapping 算法采用单线激光扫描，对盒内反光产品有误判。,Mapping 传感器抗干扰能力不足。,1) 厂家升级 Mapping 算法（dual-beam 验证）；2) 增加 mapping 失败重试 1 次；3) 误报降至每月 < 1 次。,exp_PDX_Loader_mapping.pptx,4
Boston,SensorModule,距离传感器温度敏感,Boston 线 SensorModule-04 测量距离与环境温度成 0.1 μm/°C 漂移，超出工艺允差。,传感器固定支架是普通钢材，跨度 200 mm 导致温漂主要来自支架膨胀。,支架设计未考虑温漂。,1) 支架改 Invar 材质；2) 同时增加环境温度补偿系数；3) 漂移降至 0.02 μm/°C；4) 满足工艺要求。,exp_Boston_SensorModule_thermal.pptx,2
Sonora,Heater,SSR 散热硅脂干涸,Sonora 线 Heater-02 SSR 散热器表面温度 1 年内由 58 °C 升至 71 °C。,拆下 SSR 发现散热硅脂干涸开裂，热阻升高约 30%。原配硅脂未达到工业级耐温要求。,硅脂选型不当 + 长期高温老化。,1) 更换 Arctic MX-4 硅脂；2) 加入 PM checklist 每年检查；3) 温度回落至 56 °C。,exp_Sonora_Heater_paste.pptx,5
Yucatan,Conveyor,碎屑堆积引起感应失灵,Yucatan 线 Conveyor-08 入口光电传感器偶发误报 E1038，每周 3–4 次。,现场观察发现上游模组掉落少量塑料碎屑，落在光电感应区。,上游模组碎屑掉落污染传感器。,1) 修复上游模组碎屑源（机械导向更换）；2) 增加感应区下方接屑盘；3) 误报降至每月 1 次以下。,exp_Yucatan_Conveyor_debris.pptx,7
MEM,Aligner,theta 轴零点偏移,MEM 线 Aligner-02 每周 theta 轴零点向同方向漂移 0.005°，3 周后超差。,拆开 theta 轴检查发现 home 挡片螺钉松动，每次正向运动后挡片轻微位移。,挡片螺钉防松不到位（缺乏螺纹胶）。,1) 用 Loctite 243 螺纹胶重新固定挡片；2) 增加螺钉防松 PM 项；3) 漂移问题消除。,exp_MEM_Aligner_theta_drift.pptx,4
Kinneret,Stage,气浮节流孔堵塞,Kinneret 线 Stage-06 工作台一角气膜厚度由 10 μm 降至 4 μm。,"用 100 μm 探针通节流孔发现一处 0.05 mm 节流孔被金属碎屑堵塞。
",气源管路过滤等级不够，金属碎屑随气流进入节流孔。,1) 通孔修复；2) 在气浮入口增加 0.01 μm 终端过滤器；3) 气膜均匀度恢复；4) 修改设计标准。,exp_Kinneret_Stage_orifice.pptx,2
MHK,FTU,探针卡寿命预测偏低,MHK 线探针卡按 50 万次更换，但实际寿命因产品而异；某 PN 仅 30 万次 yield 即明显下滑。,对历史 yield 数据做回归发现该 PN pad 较小（80 μm），单针压力相对更高，加速针尖磨损。,通用寿命策略未细分产品。,1) 按产品分级寿命策略；2) 小 pad 产品寿命降为 30 万次；3) yield 影响消除；4) 寿命管理升级到 MES 自动跟踪。,exp_MHK_FTU_card_lifetime.pptx,13
PDX,SensorModule,传感器 dropout,PDX 线 SensorModule-08 偶发数据丢失 < 0.1%，但客户要求 0.0%。,用 Wireshark 抓 EtherCAT 报文发现某节点 CRC 错误瞬态增加，对应位置是网线穿过电磁阀控制柜旁。,网线走线靠近电磁阀，电磁干扰耦合。,1) 重新走线远离电磁阀；2) 网线换屏蔽 CAT6A；3) dropout 降为 0；4) 修订电控柜布线规范。,exp_PDX_SensorModule_emi.pptx,6
Boston,Loader,ESD 引起的 MEMS 失效,Boston 线下线 MEMS 产品某批次失效率突增 0.3%。,失效产品做 FA 发现 ESD 烧毁特征。复盘工序定位到 Loader 末端橡胶吸盘电阻 > 10^11 Ω（标准 10^6–10^9 Ω）。,吸盘材质选型错误（绝缘材质引起 ESD 积累）。,1) 更换抗静电吸盘（10^7 Ω）；2) 增加 ESD 离子风机；3) 失效率降至 < 0.01%；4) 修订耗材清单。,exp_Boston_Loader_esd.pptx,7
Sonora,Pump,真空泵抱死,Sonora 线 Pump-02 长假后开机抱死无法启动。,拆解发现泵内有水珠及锈蚀。停机期间冷却水管路未排空导致冷凝水进入泵腔。,停机操作 SOP 缺失（停机未排水排油）。,1) 整修泵；2) 制定标准停机 SOP 包含冷却水排空步骤；3) 每次长假前由设备组确认；4) 类似故障未再发生。,exp_Sonora_Pump_shutdown.pptx,10
Yucatan,Heater,双热电偶不一致,Yucatan 线 Heater-08 主辅热电偶差值由 0.2 °C 升至 2.5 °C 触发 E1052。,用 Fluke 754 同时校验，发现监控热电偶老化误差大；插入深度也较安装时浅了 5 mm。,热电偶老化 + 安装位置松动。,1) 更换监控热电偶；2) 增加深度限位环；3) 校准差 < 0.3 °C；4) 制定热电偶 12 个月强制更换 PM 项。,exp_Yucatan_Heater_tc_drift.pptx,5
MEM,Conveyor,皮带早期磨损,MEM 线 Conveyor-04 皮带使用 6 个月即出现侧边磨损（标准 24 个月）。,测量发现编码器与电机轴同轴度 0.12 mm（标准 ≤ 0.05 mm），长期偏载导致皮带跑偏。,设备安装时同轴度未达标，长期累积造成磨损。,1) 重新做 setup_Conveyor_encoder 对中；2) 更换皮带；3) 每季度复测同轴度；4) 皮带寿命恢复正常。,exp_MEM_Conveyor_belt_wear.pptx,1
PDX,Stage,气浮接触底导致划痕,PDX 线 Stage-03 气浮一次接触底导致工作台底面划痕约 15 mm。,维护拆查精度，发现工作台与导轨刚性接触瞬间损伤导轨涂层。,气浮失效 + 缺乏软停机保护。,1) 抛光修复导轨涂层；2) 修改逻辑：气压 < 0.52 MPa 即软停机；3) 同时实施 exp_MHK_Stage_air_drop 的纠正措施；4) 复测精度满足要求。,exp_PDX_Stage_scratch.pptx,6
Boston,FTU,ATE 校准源温度敏感,Boston 线 FTU-02 测量绝对精度漂移 ~30 ppm。,记录环境温度发现机房空调修复后温度由 24 °C 升至 27 °C。校准源 LM399 在 27 °C 时漂移 10 ppm/°C。,ATE 环境温度变化超标。,1) 修复空调；2) 设温控 24 ± 1 °C；3) 漂移恢复 < 5 ppm；4) 增加机房温度报警上传 MES。,exp_Boston_FTU_temp.pptx,4
Sonora,Aligner,对位识别率与时段相关,Sonora 线 Aligner-04 上午识别率 99.8%，下午降至 97.0%。,调出 light intensity 日志，发现下午照度计读数下降 12%。原因是 LED 散热不良导致温度升高，亮度衰减。,LED 散热设计不足。,1) 加散热片与小风扇；2) 实时监控 LED 温度；3) 全天识别率稳定 99.8%；4) 修订厂家设计反馈。,exp_Sonora_Aligner_led_temp.pptx,8
Yucatan,SensorModule,传感器读数突变,Yucatan 线 SensorModule-05 读数偶发突变 ±100 μm，间隔 30–60 min。,示波器抓取发现传感器电源 24V 出现 50 V 尖峰，源自附近变频器启动浪涌。,变频器浪涌通过电源耦合干扰传感器。,1) 在传感器电源加 RC 滤波 + TVS；2) 变频器加输入电抗器；3) 突变消失；4) 修订强弱电隔离规范。,exp_Yucatan_SensorModule_surge.pptx,2
MHK,Loader,FOUP 上料异响,MHK 线 Loader-03 上料过程发出 “咔” 异响，频率每天 5–10 次。,用录音 + 高速摄像复盘，发现 FOUP 下方滑轨润滑脂干涸，FOUP 底座与滑轨在装载到位瞬间产生黏滑振动。,润滑维护未到位。,1) 清洗后重新涂 NLGI 2 锂基脂；2) PM 周期由 6 个月缩为 3 个月；3) 异响消失。,exp_MHK_Loader_lube.pptx,9
Kinneret,FTU,继电器接触不良,Kinneret 线 FTU-03 偶发某 pin 测试为开路，复测立即 OK。,用 multi-step 测试隔离到测试通道继电器 OMRON G6K，运行 47 万次接近寿命末期。,继电器寿命到期，提前更换。,1) 更换继电器；2) 系统化把寿命阈值由 50 万降为 40 万次预警；3) 故障率消除。,exp_Kinneret_FTU_relay.pptx,12
MEM,Heater,升温时间逐月变长,MEM 线 Heater-05 从 25 → 120 °C 用时由初始 65 s 缓慢增长到 110 s。,测加热膜电阻由 50 Ω 升至 53.5 Ω（+7%），说明加热膜逐步老化。,加热膜达到寿命末期。,1) 更换加热膜；2) 重做 setup_Heater_pid；3) 升温时间恢复 < 75 s；4) 加热膜建议 24 个月强制更换。,exp_MEM_Heater_aging.pptx,6
PDX,Aligner,拼接缝亮度跳变,PDX 线 Aligner-06 大视场拼接图中可见亮度跳变约 12 ADU，影响缺陷判定。,排查发现 FFC 文件已 6 个月未更新，期间光源衰减导致 FFC 失效。,FFC 周期管理缺失。,1) 重新做 FFC（参考 setup_Aligner_stitch）；2) 亮度跳变 < 3 ADU；3) FFC 加入月度 PM 项。,exp_PDX_Aligner_ffc.pptx,14
Boston,Conveyor,急停按钮接触电阻高,Boston 线 Conveyor-07 急停按钮触点电阻 0.8 Ω（标准 < 0.5 Ω）。,拆开按钮发现触点氧化，长期未操作。,按钮长期不动作导致触点氧化。,1) 更换按钮组件；2) 月度点检按下按钮验证响应（参考 setup_Conveyor_estop）；3) 接触电阻 0.1 Ω。,exp_Boston_Conveyor_estop.pptx,10
Sonora,Stage,backlash 增大,Sonora 线 Stage-09 Z 轴 backlash 由 2 μm 增至 8 μm。,拆检发现丝杆螺母滚珠局部磨损。,丝杆负载偏心 + 寿命到期。,1) 更换丝杆螺母组件；2) 加注润滑脂；3) 检查负载偏心来源；4) backlash 恢复 < 2 μm。,exp_Sonora_Stage_backlash.pptx,5
Yucatan,Pump,油雾过滤器堵塞快,Yucatan 线 Pump-04 油雾过滤器寿命由 6 月降为 2 月。,油样分析发现高沸点化合物含量异常，源自工艺端某新增材料蒸发。,工艺变更未同步评估对泵的影响。,1) 与工艺协商改进材料；2) 更换更高级别油雾过滤器；3) 加入工艺变更评估流程。,exp_Yucatan_Pump_filter.pptx,8
MHK,Heater,加热延迟变大,MHK 线 Heater-07 SSR 控制延迟由 < 10 ms 增至 40 ms。,检测 PID 输出与 SSR 通态信号，发现 SSR 内部光耦老化。,光耦寿命问题。,1) 更换 SSR；2) 同型号 SSR 加入预防性更换清单；3) 延迟恢复 < 5 ms。,exp_MHK_Heater_ssr_delay.pptx,3
Kinneret,Loader,机械手抖动,Kinneret 线 Loader-04 机械手末端高速段振动 8 μm。,调出 servo log 发现 jerk 设置 80 m/s³ 偏高。降至 50 m/s³ 振动 < 3 μm。,运动参数设置未严格按 setup 标准。,1) 按 setup_Loader_speed 重新调参；2) 锁定 recipe 参数权限；3) 振动消除。,exp_Kinneret_Loader_jerk.pptx,11
MEM,FTU,DUT 接触电阻偏高,MEM 线 FTU-04 某批次产品接触电阻 80–120 mΩ（标准 < 50）。,polishing pad 抛光后无改善。深查发现下压力调压阀漂移，仅 22 N（标准 30 N）。,气路调压阀老化漂移。,1) 更换调压阀；2) 校准下压力 30 ± 2 N（参考 setup_FTU_jig_force）；3) 接触电阻 35–45 mΩ；4) 调压阀加入 2 年强制更换。,exp_MEM_FTU_force.pptx,10
PDX,SensorModule,噪声底升高,PDX 线 SensorModule-09 noise floor 由 0.3 μm 升至 0.9 μm。,排查发现传感器附近新装的散热风扇引起空气流扰，关闭风扇后噪声恢复。,空气流扰对激光传感器影响显著。,1) 风扇加防风罩或改远离方向；2) 噪声恢复 0.3 μm；3) 设备布局规范禁止风扇直吹精密传感器。,exp_PDX_SensorModule_airflow.pptx,4
Boston,Heater,年度 PM 后报警增加,Boston 线 Heater-09 PM 后 24h 内连续报 3 次 E1003 热电偶断路。,拆开发现 PM 时换的热电偶接线端子未按扭矩规范紧固（仅 0.3 N·m，标准 1.2 N·m）。,PM 作业未遵守扭矩规范。,1) 按 1.2 N·m 紧固；2) 加入 PM 扭矩 checklist；3) 24h 后无报警；4) 培训 PM 团队扭矩规范。,exp_Boston_Heater_pm.pptx,7
Sonora,Conveyor,拐弯段产品翻倒,Sonora 线 Conveyor-03 拐弯段产品 5% 翻倒。,高速摄像分析发现产品重心高，过弯时离心力倾覆。,产品设计变更未考虑输送稳定性。,1) 在拐弯段增加导向条；2) 速度降至 80%；3) 翻倒率降为 0；4) 修订工艺：产品设计阶段必须做输送评估。,exp_Sonora_Conveyor_tip.pptx,13
Yucatan,Aligner,UV 灯启动失败,Yucatan 线 Aligner-05 UV 灯启动失败率 8%。,测电源电压 215 V（标准 220 ± 5%），偏低引起触发器无法点燃。,厂房电压偏低。,1) 在 UV 电源前加稳压器；2) 启动失败率 < 0.5%；3) 厂务侧排查长期解决；4) 修订设备适应电压范围 195–235V。,exp_Yucatan_Aligner_voltage.pptx,6
MHK,SensorModule,传感器干扰,MHK 线 SensorModule-06 与新装设备共用机柜后出现读数跳变。,查 EtherCAT 发现新设备 ground loop 与传感器形成共地干扰。,电气接地拓扑设计缺陷。,1) 重新设计接地拓扑（星型一点接地）；2) 修订电控柜规范；3) 干扰消失；4) 全厂同型号设备整改。,exp_MHK_SensorModule_grounding.pptx,2
Kinneret,Stage,水平度漂移,Kinneret 线 Stage-08 水平度 6 个月内由 0.01 mm/m 漂至 0.04 mm/m。,厂房地基有轻微沉降（厂务测得 0.5 mm），影响精密设备。,厂房地基沉降。,1) 重新调水平（参考 setup_Stage_level）；2) 增加每季度水平点检；3) 与厂务沟通监控地基沉降；4) 水平 0.012 mm/m。,exp_Kinneret_Stage_level.pptx,9
所有项目,FTU,ATE 通讯偶发延迟,多条线 ATE 与 MES 通讯偶发 1–2 s 延迟，每天 5–10 次。,Wireshark 抓包发现某交换机端口出现 broadcast storm，源自一台老 PLC 故障。,网络上单点故障影响全厂。,1) 更换故障 PLC；2) 交换机启用 storm control；3) 延迟消失；4) 修订网络分段：MES 与设备网严格隔离。,exp_All_FTU_network.pptx,4
所有项目,Heater,加热回路漏电,多条线 Heater 出现漏电报警，泄漏电流 5–10 mA。,拆开发现加热膜 PI（聚酰亚胺）绝缘层吸湿。原因是来料无干燥储存，PI 易吸湿。,来料管理不到位。,1) 加热膜入库后真空干燥 24h；2) 储存柜湿度 < 30% RH；3) 漏电问题消失；4) 修订来料 SOP。,exp_All_Heater_pi_humidity.pptx,5
